step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1,C,6,methanol,acetic,-0.30922,-0.19305,0.00905,0.00208328,mol0_acetic_1023_s_acetic_15,mol0_acetic_1023_s_acetic_150,-115.6731456,-115.6733035,0,0.0001579,-115.6731456,0.0001579
1,C,8,methanol,acetic,0.578721,0.920572,-0.334617,0.00153086,mol0_acetic_1023_s_acetic_15,mol0_acetic_1023_s_acetic_151,-115.6731456,-115.6733035,0,0.0001579,-115.6731456,0.0001579
1,H,1,methanol,acetic,-0.770139,-0.627274,-0.903257,0.00218587,mol0_acetic_1023_s_acetic_15,mol0_acetic_1023_s_acetic_152,-115.6731456,-115.6733035,0,0.0001579,-115.6731456,0.0001579
1,H,1,methanol,acetic,0.172798,-1.016312,0.562492,0.00279911,mol0_acetic_1023_s_acetic_15,mol0_acetic_1023_s_acetic_153,-115.6731456,-115.6733035,0,0.0001579,-115.6731456,0.0001579
1,H,1,methanol,acetic,-1.158652,0.17131,0.653028,0.00175438,mol0_acetic_1023_s_acetic_15,mol0_acetic_1023_s_acetic_154,-115.6731456,-115.6733035,0,0.0001579,-115.6731456,0.0001579
1,H,1,methanol,acetic,1.469534,0.729388,0.002576,0.00161487,mol0_acetic_1023_s_acetic_15,mol0_acetic_1023_s_acetic_155,-115.6731456,-115.6733035,0,0.0001579,-115.6731456,0.0001579
2,C,6,methanol,acetic,-0.30922,-0.19305,0.00905,0.01060575,mol0_acetic_1023_s_acetic_25,mol0_acetic_1023_s_acetic_250,-115.6868442,-115.6733035,-0.013999099,-0.01354068,-115.6728451,0.000458419
2,O,8,methanol,acetic,0.578721,0.920572,-0.334617,0.00778158,mol0_acetic_1023_s_acetic_25,mol0_acetic_1023_s_acetic_251,-115.6868442,-115.6733035,-0.013999099,-0.01354068,-115.6728451,0.000458419
2,H,1,methanol,acetic,-0.770139,-0.627274,-0.903257,0.0123568,mol0_acetic_1023_s_acetic_25,mol0_acetic_1023_s_acetic_252,-115.6868442,-115.6733035,-0.013999099,-0.01354068,-115.6728451,0.000458419
2,H,1,methanol,acetic,0.172798,-1.016312,0.562492,0.01208745,mol0_acetic_1023_s_acetic_25,mol0_acetic_1023_s_acetic_253,-115.6868442,-115.6733035,-0.013999099,-0.01354068,-115.6728451,0.000458419
2,H,1,methanol,acetic,-1.158652,0.17131,0.653028,0.0098544,mol0_acetic_1023_s_acetic_25,mol0_acetic_1023_s_acetic_254,-115.6868442,-115.6733035,-0.013999099,-0.01354068,-115.6728451,0.000458419
2,H,1,methanol,acetic,1.469534,0.729388,0.002576,0.00734941,mol0_acetic_1023_s_acetic_25,mol0_acetic_1023_s_acetic_255,-115.6868442,-115.6733035,-0.013999099,-0.01354068,-115.6728451,0.000458419
4,C,6,methanol,acetic,-0.26438,-0.20625,0.11068,0.0021337,mol0_acetic_1047_s_acetic_15,mol0_acetic_1047_s_acetic_150,-115.6742373,-115.6743865,0,0.0001492,-115.6742373,0.0001492
4,O,8,methanol,acetic,0.370544,0.992851,-0.17221,0.00155151,mol0_acetic_1047_s_acetic_15,mol0_acetic_1047_s_acetic_151,-115.6742373,-115.6743865,0,0.0001492,-115.6742373,0.0001492
4,H,1,methanol,acetic,-0.482106,-0.731936,-0.852206,0.0022974,mol0_acetic_1047_s_acetic_15,mol0_acetic_1047_s_acetic_152,-115.6742373,-115.6743865,0,0.0001492,-115.6742373,0.0001492
