step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1753,C,6,methanol,acetonitrile,0.0911,-0.37342,0.0887,0.00766262,mol2_acetonitrile_1003_s_acetonitrile_15,mol2_acetonitrile_1003_s_acetonitrile_150,-115.6738338,-115.6711272,-0.003564216,-0.00270669,-115.6702696,0.000857526
1753,O,8,methanol,acetonitrile,0.421798,0.898125,-0.427064,0.00644707,mol2_acetonitrile_1003_s_acetonitrile_15,mol2_acetonitrile_1003_s_acetonitrile_151,-115.6738338,-115.6711272,-0.003564216,-0.00270669,-115.6702696,0.000857526
1753,H,1,methanol,acetonitrile,0.61086,-0.656689,0.997825,0.00770402,mol2_acetonitrile_1003_s_acetonitrile_15,mol2_acetonitrile_1003_s_acetonitrile_152,-115.6738338,-115.6711272,-0.003564216,-0.00270669,-115.6702696,0.000857526
1753,H,1,methanol,acetonitrile,-0.998877,-0.283564,0.29888,0.01029887,mol2_acetonitrile_1003_s_acetonitrile_15,mol2_acetonitrile_1003_s_acetonitrile_153,-115.6738338,-115.6711272,-0.003564216,-0.00270669,-115.6702696,0.000857526
1753,H,1,methanol,acetonitrile,0.180812,-1.11085,-0.703732,0.00559786,mol2_acetonitrile_1003_s_acetonitrile_15,mol2_acetonitrile_1003_s_acetonitrile_154,-115.6738338,-115.6711272,-0.003564216,-0.00270669,-115.6702696,0.000857526
1753,H,1,methanol,acetonitrile,-0.307901,1.527961,-0.265061,0.00816939,mol2_acetonitrile_1003_s_acetonitrile_15,mol2_acetonitrile_1003_s_acetonitrile_155,-115.6738338,-115.6711272,-0.003564216,-0.00270669,-115.6702696,0.000857526
1754,C,6,methanol,acetonitrile,0.0911,-0.37342,0.0887,0.00215971,mol2_acetonitrile_1003_s_acetonitrile_25,mol2_acetonitrile_1003_s_acetonitrile_250,-115.6752355,-115.6711272,-0.004816163,-0.00410839,-115.6704194,0.000707773
1754,O,8,methanol,acetonitrile,0.421798,0.898125,-0.427064,0.00024914,mol2_acetonitrile_1003_s_acetonitrile_25,mol2_acetonitrile_1003_s_acetonitrile_251,-115.6752355,-115.6711272,-0.004816163,-0.00410839,-115.6704194,0.000707773
1754,H,1,methanol,acetonitrile,0.61086,-0.656689,0.997825,0.00213248,mol2_acetonitrile_1003_s_acetonitrile_25,mol2_acetonitrile_1003_s_acetonitrile_252,-115.6752355,-115.6711272,-0.004816163,-0.00410839,-115.6704194,0.000707773
1754,H,1,methanol,acetonitrile,-0.998877,-0.283564,0.29888,0.00457628,mol2_acetonitrile_1003_s_acetonitrile_25,mol2_acetonitrile_1003_s_acetonitrile_253,-115.6752355,-115.6711272,-0.004816163,-0.00410839,-115.6704194,0.000707773
1754,H,1,methanol,acetonitrile,0.180812,-1.11085,-0.703732,0.00091275,mol2_acetonitrile_1003_s_acetonitrile_25,mol2_acetonitrile_1003_s_acetonitrile_254,-115.6752355,-115.6711272,-0.004816163,-0.00410839,-115.6704194,0.000707773
1754,H,1,methanol,acetonitrile,-0.307901,1.527961,-0.265061,0.00115403,mol2_acetonitrile_1003_s_acetonitrile_25,mol2_acetonitrile_1003_s_acetonitrile_255,-115.6752355,-115.6711272,-0.004816163,-0.00410839,-115.6704194,0.000707773
1756,C,6,methanol,acetonitrile,-0.02217,-0.33463,0.09882,0.00785623,mol2_acetonitrile_1026_s_acetonitrile_15,mol2_acetonitrile_1026_s_acetonitrile_150,-115.6736033,-115.6709875,-0.00353991,-0.0026158,-115.6700633,0.00092411
1756,O,8,methanol,acetonitrile,0.493741,0.869295,-0.547169,0.00590426,mol2_acetonitrile_1026_s_acetonitrile_15,mol2_acetonitrile_1026_s_acetonitrile_151,-115.6736033,-115.6709875,-0.00353991,-0.0026158,-115.6700633,0.00092411
1756,H,1,methanol,acetonitrile,0.647968,-0.564464,0.928755,0.00745841,mol2_acetonitrile_1026_s_acetonitrile_15,mol2_acetonitrile_1026_s_acetonitrile_152,-115.6736033,-115.6709875,-0.00353991,-0.0026158,-115.6700633,0.00092411
1756,H,1,methanol,acetonitrile,-1.072369,-0.379896,0.497736,0.01095921,mol2_acetonitrile_1026_s_acetonitrile_15,mol2_acetonitrile_1026_s_acetonitrile_153,-115.6736033,-115.6709875,-0.00353991,-0.0026158,-115.6700633,0.00092411
1756,H,1,methanol,acetonitrile,0.121718,-1.172072,-0.583519,0.00591002,mol2_acetonitrile_1026_s_acetonitrile_15,mol2_acetonitrile_1026_s_acetonitrile_154,-115.6736033,-115.6709875,-0.00353991,-0.0026158,-115.6700633,0.00092411
1756,H,1,methanol,acetonitrile,-0.169117,1.566275,-0.395717,0.00748169,mol2_acetonitrile_1026_s_acetonitrile_15,mol2_acetonitrile_1026_s_acetonitrile_155,-115.6736033,-115.6709875,-0.00353991,-0.0026158,-115.6700633,0.00092411
1757,C,6,methanol,acetonitrile,-0.02217,-0.33463,0.09882,0.00227332,mol2_acetonitrile_1026_s_acetonitrile_25,mol2_acetonitrile_1026_s_acetonitrile_250,-115.6746173,-115.6709875,-0.004390294,-0.00362989,-115.670227,0.000760404
1757,O,8,methanol,acetonitrile,0.493741,0.869295,-0.547169,-0.00027385,mol2_acetonitrile_1026_s_acetonitrile_25,mol2_acetonitrile_1026_s_acetonitrile_251,-115.6746173,-115.6709875,-0.004390294,-0.00362989,-115.670227,0.000760404
1757,H,1,methanol,acetonitrile,0.647968,-0.564464,0.928755,0.00183079,mol2_acetonitrile_1026_s_acetonitrile_25,mol2_acetonitrile_1026_s_acetonitrile_252,-115.6746173,-115.6709875,-0.004390294,-0.00362989,-115.670227,0.000760404
1757,H,1,methanol,acetonitrile,-1.072369,-0.379896,0.497736,0.0052451,mol2_acetonitrile_1026_s_acetonitrile_25,mol2_acetonitrile_1026_s_acetonitrile_253,-115.6746173,-115.6709875,-0.004390294,-0.00362989,-115.670227,0.000760404
