step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
2635,C,6,methanol,ammonia,-0.19422,-0.09613,0.28865,0.00961824,mol3_ammonia_1005_s_ammonia_15,mol3_ammonia_1005_s_ammonia_150,-115.6822452,-115.6752272,-0.006992288,-0.00701804,-115.6752529,-2.58E-05
2635,O,8,methanol,ammonia,0.179137,-0.06887,-1.110514,0.00685377,mol3_ammonia_1005_s_ammonia_15,mol3_ammonia_1005_s_ammonia_151,-115.6822452,-115.6752272,-0.006992288,-0.00701804,-115.6752529,-2.58E-05
2635,H,1,methanol,ammonia,-0.840878,-0.968483,0.399706,0.01417797,mol3_ammonia_1005_s_ammonia_15,mol3_ammonia_1005_s_ammonia_152,-115.6822452,-115.6752272,-0.006992288,-0.00701804,-115.6752529,-2.58E-05
2635,H,1,methanol,ammonia,0.724682,-0.200412,0.911261,0.00526015,mol3_ammonia_1005_s_ammonia_15,mol3_ammonia_1005_s_ammonia_153,-115.6822452,-115.6752272,-0.006992288,-0.00701804,-115.6752529,-2.58E-05
2635,H,1,methanol,ammonia,-0.788584,0.752446,0.624581,0.01237244,mol3_ammonia_1005_s_ammonia_15,mol3_ammonia_1005_s_ammonia_154,-115.6822452,-115.6752272,-0.006992288,-0.00701804,-115.6752529,-2.58E-05
2635,H,1,methanol,ammonia,0.916458,0.584165,-1.120674,0.00412321,mol3_ammonia_1005_s_ammonia_15,mol3_ammonia_1005_s_ammonia_155,-115.6822452,-115.6752272,-0.006992288,-0.00701804,-115.6752529,-2.58E-05
2636,C,6,methanol,ammonia,-0.19422,-0.09613,0.28865,0.01068731,mol3_ammonia_1005_s_ammonia_25,mol3_ammonia_1005_s_ammonia_250,-115.6850358,-115.6752272,-0.009678896,-0.0098086,-115.6753569,-0.000129704
2636,O,8,methanol,ammonia,0.179137,-0.06887,-1.110514,0.00806837,mol3_ammonia_1005_s_ammonia_25,mol3_ammonia_1005_s_ammonia_251,-115.6850358,-115.6752272,-0.009678896,-0.0098086,-115.6753569,-0.000129704
2636,H,1,methanol,ammonia,-0.840878,-0.968483,0.399706,0.0152867,mol3_ammonia_1005_s_ammonia_25,mol3_ammonia_1005_s_ammonia_252,-115.6850358,-115.6752272,-0.009678896,-0.0098086,-115.6753569,-0.000129704
2636,H,1,methanol,ammonia,0.724682,-0.200412,0.911261,0.00624457,mol3_ammonia_1005_s_ammonia_25,mol3_ammonia_1005_s_ammonia_253,-115.6850358,-115.6752272,-0.009678896,-0.0098086,-115.6753569,-0.000129704
2636,H,1,methanol,ammonia,-0.788584,0.752446,0.624581,0.01340926,mol3_ammonia_1005_s_ammonia_25,mol3_ammonia_1005_s_ammonia_254,-115.6850358,-115.6752272,-0.009678896,-0.0098086,-115.6753569,-0.000129704
2636,H,1,methanol,ammonia,0.916458,0.584165,-1.120674,0.00513575,mol3_ammonia_1005_s_ammonia_25,mol3_ammonia_1005_s_ammonia_255,-115.6850358,-115.6752272,-0.009678896,-0.0098086,-115.6753569,-0.000129704
2638,C,6,methanol,ammonia,-0.18395,-0.08327,0.29942,0.01063123,mol3_ammonia_1031_s_ammonia_15,mol3_ammonia_1031_s_ammonia_150,-115.6807703,-115.6734788,-0.006202551,-0.00729155,-115.6745678,-0.001088999
