step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
3496,C,6,methanol,benzene,-0.34945,-0.02812,-0.08532,-0.00791227,mol4_benzene_1011_s_benzene_15,mol4_benzene_1011_s_benzene_150,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3496,O,8,methanol,benzene,0.810246,0.363691,0.654199,-0.0016091,mol4_benzene_1011_s_benzene_15,mol4_benzene_1011_s_benzene_151,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3496,H,1,methanol,benzene,-1.209742,0.330845,0.554868,-0.00328431,mol4_benzene_1011_s_benzene_15,mol4_benzene_1011_s_benzene_152,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3496,H,1,methanol,benzene,-0.44039,0.401484,-1.125402,-0.01523124,mol4_benzene_1011_s_benzene_15,mol4_benzene_1011_s_benzene_153,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3496,H,1,methanol,benzene,-0.397951,-1.118207,-0.155022,-0.0110951,mol4_benzene_1011_s_benzene_15,mol4_benzene_1011_s_benzene_154,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3496,H,1,methanol,benzene,1.610504,0.064681,0.164015,-0.01663572,mol4_benzene_1011_s_benzene_15,mol4_benzene_1011_s_benzene_155,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3497,C,6,methanol,benzene,-0.34945,-0.02812,-0.08532,-0.00791227,mol4_benzene_1011_s_benzene_25,mol4_benzene_1011_s_benzene_250,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3497,O,8,methanol,benzene,0.810246,0.363691,0.654199,-0.0016091,mol4_benzene_1011_s_benzene_25,mol4_benzene_1011_s_benzene_251,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3497,H,1,methanol,benzene,-1.209742,0.330845,0.554868,-0.00328431,mol4_benzene_1011_s_benzene_25,mol4_benzene_1011_s_benzene_252,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3497,H,1,methanol,benzene,-0.44039,0.401484,-1.125402,-0.01523124,mol4_benzene_1011_s_benzene_25,mol4_benzene_1011_s_benzene_253,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3497,H,1,methanol,benzene,-0.397951,-1.118207,-0.155022,-0.0110951,mol4_benzene_1011_s_benzene_25,mol4_benzene_1011_s_benzene_254,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3497,H,1,methanol,benzene,1.610504,0.064681,0.164015,-0.01663572,mol4_benzene_1011_s_benzene_25,mol4_benzene_1011_s_benzene_255,-115.6838149,-115.6755313,-0.001693913,-0.00828357,-115.682121,-0.006589657
3499,C,6,methanol,benzene,-0.3558,-0.0319,-0.08568,-0.0077768,mol4_benzene_1013_s_benzene_15,mol4_benzene_1013_s_benzene_150,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3499,O,8,methanol,benzene,0.806801,0.359239,0.649622,-0.00144281,mol4_benzene_1013_s_benzene_15,mol4_benzene_1013_s_benzene_151,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3499,H,1,methanol,benzene,-1.213484,0.331482,0.565496,-0.00316725,mol4_benzene_1013_s_benzene_15,mol4_benzene_1013_s_benzene_152,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3499,H,1,methanol,benzene,-0.428208,0.414514,-1.12706,-0.01491323,mol4_benzene_1013_s_benzene_15,mol4_benzene_1013_s_benzene_153,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3499,H,1,methanol,benzene,-0.407383,-1.132076,-0.151649,-0.01096033,mol4_benzene_1013_s_benzene_15,mol4_benzene_1013_s_benzene_154,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3499,H,1,methanol,benzene,1.58506,0.066558,0.168425,-0.01599371,mol4_benzene_1013_s_benzene_15,mol4_benzene_1013_s_benzene_155,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3500,C,6,methanol,benzene,-0.3558,-0.0319,-0.08568,-0.0077768,mol4_benzene_1013_s_benzene_25,mol4_benzene_1013_s_benzene_250,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
3500,O,8,methanol,benzene,0.806801,0.359239,0.649622,-0.00144281,mol4_benzene_1013_s_benzene_25,mol4_benzene_1013_s_benzene_251,-115.683687,-115.6754875,-0.001701106,-0.00819942,-115.6819858,-0.006498314
