step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
4384,C,6,methanol,dmf,-0.27113,-0.13398,0.19682,0.00910085,mol5_dmf_1011_s_water_15,mol5_dmf_1011_s_water_150,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4384,O,8,methanol,dmf,0.989478,0.454098,-0.104398,0.00787777,mol5_dmf_1011_s_water_15,mol5_dmf_1011_s_water_151,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4384,H,1,methanol,dmf,-0.221477,-0.291411,1.257221,0.00733038,mol5_dmf_1011_s_water_15,mol5_dmf_1011_s_water_152,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4384,H,1,methanol,dmf,-1.100418,0.576178,-0.055087,0.0012812,mol5_dmf_1011_s_water_15,mol5_dmf_1011_s_water_153,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4384,H,1,methanol,dmf,-0.371966,-1.114969,-0.24078,0.01700235,mol5_dmf_1011_s_water_15,mol5_dmf_1011_s_water_154,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4384,H,1,methanol,dmf,0.96969,0.491797,-1.044497,0.0068929,mol5_dmf_1011_s_water_15,mol5_dmf_1011_s_water_155,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4385,C,6,methanol,dmf,-0.27113,-0.13398,0.19682,0.00910085,mol5_dmf_1011_s_water_25,mol5_dmf_1011_s_water_250,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4385,O,8,methanol,dmf,0.989478,0.454098,-0.104398,0.00787777,mol5_dmf_1011_s_water_25,mol5_dmf_1011_s_water_251,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4385,H,1,methanol,dmf,-0.221477,-0.291411,1.257221,0.00733038,mol5_dmf_1011_s_water_25,mol5_dmf_1011_s_water_252,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4385,H,1,methanol,dmf,-1.100418,0.576178,-0.055087,0.0012812,mol5_dmf_1011_s_water_25,mol5_dmf_1011_s_water_253,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4385,H,1,methanol,dmf,-0.371966,-1.114969,-0.24078,0.01700235,mol5_dmf_1011_s_water_25,mol5_dmf_1011_s_water_254,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4385,H,1,methanol,dmf,0.96969,0.491797,-1.044497,0.0068929,mol5_dmf_1011_s_water_25,mol5_dmf_1011_s_water_255,-115.6760573,-115.6744149,0.000326086,-0.00164232,-115.6763833,-0.001968406
4387,C,6,methanol,dmf,-0.25463,-0.1194,0.20288,0.0104948,mol5_dmf_1025_s_water_15,mol5_dmf_1025_s_water_150,-115.6741309,-115.6722902,0.000345268,-0.00184078,-115.6744762,-0.002186048
