step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
5193,C,6,methanol,ethanol,-0.06295,0.13783,0.27687,-0.00015395,mol6_ethanol_1007_s_ethanol_15,mol6_ethanol_1007_s_ethanol_150,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5193,O,8,methanol,ethanol,-0.01884,0.236153,-1.103451,0.0065334,mol6_ethanol_1007_s_ethanol_15,mol6_ethanol_1007_s_ethanol_151,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5193,H,1,methanol,ethanol,-1.090327,0.291716,0.751334,0.00153169,mol6_ethanol_1007_s_ethanol_15,mol6_ethanol_1007_s_ethanol_152,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5193,H,1,methanol,ethanol,0.305152,-0.883024,0.596335,-0.00498626,mol6_ethanol_1007_s_ethanol_15,mol6_ethanol_1007_s_ethanol_153,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5193,H,1,methanol,ethanol,0.581629,0.906234,0.733129,-0.0025716,mol6_ethanol_1007_s_ethanol_15,mol6_ethanol_1007_s_ethanol_154,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5193,H,1,methanol,ethanol,0.297407,-0.705053,-1.253845,0.00721312,mol6_ethanol_1007_s_ethanol_15,mol6_ethanol_1007_s_ethanol_155,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5194,C,6,methanol,ethanol,-0.06295,0.13783,0.27687,-0.00015395,mol6_ethanol_1007_s_ethanol_25,mol6_ethanol_1007_s_ethanol_250,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5194,O,8,methanol,ethanol,-0.01884,0.236153,-1.103451,0.0065334,mol6_ethanol_1007_s_ethanol_25,mol6_ethanol_1007_s_ethanol_251,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5194,H,1,methanol,ethanol,-1.090327,0.291716,0.751334,0.00153169,mol6_ethanol_1007_s_ethanol_25,mol6_ethanol_1007_s_ethanol_252,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5194,H,1,methanol,ethanol,0.305152,-0.883024,0.596335,-0.00498626,mol6_ethanol_1007_s_ethanol_25,mol6_ethanol_1007_s_ethanol_253,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5194,H,1,methanol,ethanol,0.581629,0.906234,0.733129,-0.0025716,mol6_ethanol_1007_s_ethanol_25,mol6_ethanol_1007_s_ethanol_254,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5194,H,1,methanol,ethanol,0.297407,-0.705053,-1.253845,0.00721312,mol6_ethanol_1007_s_ethanol_25,mol6_ethanol_1007_s_ethanol_255,-115.6726773,-115.6648923,-0.007977128,-0.00778498,-115.6647001,0.000192148
5196,C,6,methanol,ethanol,-0.07812,0.13133,0.30982,2.87E-05,mol6_ethanol_1011_s_ethanol_15,mol6_ethanol_1011_s_ethanol_150,-115.6762047,-115.6676998,-0.008200106,-0.00850494,-115.6680046,-0.000304834
