step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1,C,6,methanol,acetic,-0.309220,-0.193050,0.009050,0,mol0_acetic_1023_s_acetic_15_gas,mol0_acetic_1023_s_acetic_15_gas0,-115.67330351,-115.67330351,0,0.0,-115.67330351,0.0
1,O,8,methanol,acetic,0.578721,0.920572,-0.334617,0,mol0_acetic_1023_s_acetic_15_gas,mol0_acetic_1023_s_acetic_15_gas1,-115.67330351,-115.67330351,0,0.0,-115.67330351,0.0
1,H,1,methanol,acetic,-0.770139,-0.627274,-0.903257,0,mol0_acetic_1023_s_acetic_15_gas,mol0_acetic_1023_s_acetic_15_gas2,-115.67330351,-115.67330351,0,0.0,-115.67330351,0.0
1,H,1,methanol,acetic,0.172798,-1.016312,0.562492,0,mol0_acetic_1023_s_acetic_15_gas,mol0_acetic_1023_s_acetic_15_gas3,-115.67330351,-115.67330351,0,0.0,-115.67330351,0.0
1,H,1,methanol,acetic,-1.158652,0.171310,0.653028,0,mol0_acetic_1023_s_acetic_15_gas,mol0_acetic_1023_s_acetic_15_gas4,-115.67330351,-115.67330351,0,0.0,-115.67330351,0.0
1,H,1,methanol,acetic,1.469534,0.729388,0.002576,0,mol0_acetic_1023_s_acetic_15_gas,mol0_acetic_1023_s_acetic_15_gas5,-115.67330351,-115.67330351,0,0.0,-115.67330351,0.0
3,C,6,methanol,acetic,-0.264380,-0.206250,0.110680,0,mol0_acetic_1047_s_acetic_15_gas,mol0_acetic_1047_s_acetic_15_gas0,-115.6743865,-115.6743865,0,0.0,-115.6743865,0.0
3,O,8,methanol,acetic,0.370544,0.992851,-0.172210,0,mol0_acetic_1047_s_acetic_15_gas,mol0_acetic_1047_s_acetic_15_gas1,-115.6743865,-115.6743865,0,0.0,-115.6743865,0.0
3,H,1,methanol,acetic,-0.482106,-0.731936,-0.852206,0,mol0_acetic_1047_s_acetic_15_gas,mol0_acetic_1047_s_acetic_15_gas2,-115.6743865,-115.6743865,0,0.0,-115.6743865,0.0
3,H,1,methanol,acetic,0.310759,-0.900548,0.770427,0,mol0_acetic_1047_s_acetic_15_gas,mol0_acetic_1047_s_acetic_15_gas3,-115.6743865,-115.6743865,0,0.0,-115.6743865,0.0
3,H,1,methanol,acetic,-1.245425,0.085013,0.587773,0,mol0_acetic_1047_s_acetic_15_gas,mol0_acetic_1047_s_acetic_15_gas4,-115.6743865,-115.6743865,0,0.0,-115.6743865,0.0
3,H,1,methanol,acetic,1.300959,0.760991,-0.449283,0,mol0_acetic_1047_s_acetic_15_gas,mol0_acetic_1047_s_acetic_15_gas5,-115.6743865,-115.6743865,0,0.0,-115.6743865,0.0
5,C,6,methanol,acetic,-0.054580,-0.312050,0.229970,0,mol0_acetic_1095_s_acetic_15_gas,mol0_acetic_1095_s_acetic_15_gas0,-115.67209504,-115.67209504,0,0.0,-115.67209504,0.0
5,O,8,methanol,acetic,0.229908,1.078871,-0.011290,0,mol0_acetic_1095_s_acetic_15_gas,mol0_acetic_1095_s_acetic_15_gas1,-115.67209504,-115.67209504,0,0.0,-115.67209504,0.0
5,H,1,methanol,acetic,0.184861,-0.841565,-0.720441,0,mol0_acetic_1095_s_acetic_15_gas,mol0_acetic_1095_s_acetic_15_gas2,-115.67209504,-115.67209504,0,0.0,-115.67209504,0.0
5,H,1,methanol,acetic,0.549153,-0.769616,1.058607,0,mol0_acetic_1095_s_acetic_15_gas,mol0_acetic_1095_s_acetic_15_gas3,-115.67209504,-115.67209504,0,0.0,-115.67209504,0.0
5,H,1,methanol,acetic,-1.153768,-0.405851,0.422811,0,mol0_acetic_1095_s_acetic_15_gas,mol0_acetic_1095_s_acetic_15_gas4,-115.67209504,-115.67209504,0,0.0,-115.67209504,0.0
5,H,1,methanol,acetic,0.246895,1.238572,-0.971397,0,mol0_acetic_1095_s_acetic_15_gas,mol0_acetic_1095_s_acetic_15_gas5,-115.67209504,-115.67209504,0,0.0,-115.67209504,0.0
