step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
6054,C,6,methanol,hexane,-0.38428,0.0068,-0.01547,0.00064203,mol7_hexane_1007_s_hexane_15,mol7_hexane_1007_s_hexane_150,-115.6736146,-115.6734943,-1.10E-05,-0.00012039,-115.6736037,-0.000109408
6054,O,8,methanol,hexane,0.993227,0.454145,-0.068928,0.00169176,mol7_hexane_1007_s_hexane_15,mol7_hexane_1007_s_hexane_151,-115.6736146,-115.6734943,-1.10E-05,-0.00012039,-115.6736037,-0.000109408
6054,H,1,methanol,hexane,-0.959084,0.841123,-0.390844,0.00063881,mol7_hexane_1007_s_hexane_15,mol7_hexane_1007_s_hexane_152,-115.6736146,-115.6734943,-1.10E-05,-0.00012039,-115.6736037,-0.000109408
6054,H,1,methanol,hexane,-0.589535,-0.888671,-0.659443,0.00034811,mol7_hexane_1007_s_hexane_15,mol7_hexane_1007_s_hexane_153,-115.6736146,-115.6734943,-1.10E-05,-0.00012039,-115.6736037,-0.000109408
6054,H,1,methanol,hexane,-0.583187,-0.117243,1.045449,0.00046192,mol7_hexane_1007_s_hexane_15,mol7_hexane_1007_s_hexane_154,-115.6736146,-115.6734943,-1.10E-05,-0.00012039,-115.6736037,-0.000109408
6054,H,1,methanol,hexane,1.51752,-0.301727,0.115936,0.0016476,mol7_hexane_1007_s_hexane_15,mol7_hexane_1007_s_hexane_155,-115.6736146,-115.6734943,-1.10E-05,-0.00012039,-115.6736037,-0.000109408
6055,C,6,methanol,hexane,-0.38428,0.0068,-0.01547,0.00065871,mol7_hexane_1007_s_hexane_25,mol7_hexane_1007_s_hexane_250,-115.6736548,-115.6734943,-4.86E-05,-0.00016052,-115.6736062,-0.000111913
6055,O,8,methanol,hexane,0.993227,0.454145,-0.068928,0.00172753,mol7_hexane_1007_s_hexane_25,mol7_hexane_1007_s_hexane_251,-115.6736548,-115.6734943,-4.86E-05,-0.00016052,-115.6736062,-0.000111913
6055,H,1,methanol,hexane,-0.959084,0.841123,-0.390844,0.00064221,mol7_hexane_1007_s_hexane_25,mol7_hexane_1007_s_hexane_252,-115.6736548,-115.6734943,-4.86E-05,-0.00016052,-115.6736062,-0.000111913
6055,H,1,methanol,hexane,-0.589535,-0.888671,-0.659443,0.00036631,mol7_hexane_1007_s_hexane_25,mol7_hexane_1007_s_hexane_253,-115.6736548,-115.6734943,-4.86E-05,-0.00016052,-115.6736062,-0.000111913
6055,H,1,methanol,hexane,-0.583187,-0.117243,1.045449,0.00047592,mol7_hexane_1007_s_hexane_25,mol7_hexane_1007_s_hexane_254,-115.6736548,-115.6734943,-4.86E-05,-0.00016052,-115.6736062,-0.000111913
6055,H,1,methanol,hexane,1.51752,-0.301727,0.115936,0.00168908,mol7_hexane_1007_s_hexane_25,mol7_hexane_1007_s_hexane_255,-115.6736548,-115.6734943,-4.86E-05,-0.00016052,-115.6736062,-0.000111913
6057,C,6,methanol,hexane,-0.38197,0.0117,-0.01325,0.0006695,mol7_hexane_1010_s_hexane_15,mol7_hexane_1010_s_hexane_150,-115.6748727,-115.6747401,-1.08E-05,-0.00013254,-115.6748619,-0.000121773
6057,O,8,methanol,hexane,0.996285,0.457886,-0.067382,0.00173538,mol7_hexane_1010_s_hexane_15,mol7_hexane_1010_s_hexane_151,-115.6748727,-115.6747401,-1.08E-05,-0.00013254,-115.6748619,-0.000121773
6057,H,1,methanol,hexane,-0.955169,0.854304,-0.413327,0.00066309,mol7_hexane_1010_s_hexane_15,mol7_hexane_1010_s_hexane_152,-115.6748727,-115.6747401,-1.08E-05,-0.00013254,-115.6748619,-0.000121773
6057,H,1,methanol,hexane,-0.568186,-0.87115,-0.674007,0.00037337,mol7_hexane_1010_s_hexane_15,mol7_hexane_1010_s_hexane_153,-115.6748727,-115.6747401,-1.08E-05,-0.00013254,-115.6748619,-0.000121773
6057,H,1,methanol,hexane,-0.601833,-0.132064,1.055016,0.00047836,mol7_hexane_1010_s_hexane_15,mol7_hexane_1010_s_hexane_154,-115.6748727,-115.6747401,-1.08E-05,-0.00013254,-115.6748619,-0.000121773
6057,H,1,methanol,hexane,1.529335,-0.321868,0.083421,0.00166498,mol7_hexane_1010_s_hexane_15,mol7_hexane_1010_s_hexane_155,-115.6748727,-115.6747401,-1.08E-05,-0.00013254,-115.6748619,-0.000121773
6058,C,6,methanol,hexane,-0.38197,0.0117,-0.01325,0.00068323,mol7_hexane_1010_s_hexane_25,mol7_hexane_1010_s_hexane_250,-115.6749119,-115.6747401,-4.79E-05,-0.00017175,-115.674864,-0.000123898
6058,O,8,methanol,hexane,0.996285,0.457886,-0.067382,0.00176802,mol7_hexane_1010_s_hexane_25,mol7_hexane_1010_s_hexane_251,-115.6749119,-115.6747401,-4.79E-05,-0.00017175,-115.674864,-0.000123898
6058,H,1,methanol,hexane,-0.955169,0.854304,-0.413327,0.00066298,mol7_hexane_1010_s_hexane_25,mol7_hexane_1010_s_hexane_252,-115.6749119,-115.6747401,-4.79E-05,-0.00017175,-115.674864,-0.000123898
6058,H,1,methanol,hexane,-0.568186,-0.87115,-0.674007,0.00038873,mol7_hexane_1010_s_hexane_25,mol7_hexane_1010_s_hexane_253,-115.6749119,-115.6747401,-4.79E-05,-0.00017175,-115.674864,-0.000123898
