step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
6930,C,6,methanol,toluene,0.08552,0.07723,0.34457,-0.00014671,mol9_toluene_1030_s_toluene_15,mol9_toluene_1030_s_toluene_150,-115.6750225,-115.6745871,-0.000184977,-0.00043539,-115.6748375,-0.000250413
6930,O,8,methanol,toluene,-0.630545,0.197905,-0.881843,-0.00037518,mol9_toluene_1030_s_toluene_15,mol9_toluene_1030_s_toluene_151,-115.6750225,-115.6745871,-0.000184977,-0.00043539,-115.6748375,-0.000250413
6930,H,1,methanol,toluene,0.896507,0.796706,0.450654,-8.22E-06,mol9_toluene_1030_s_toluene_15,mol9_toluene_1030_s_toluene_152,-115.6750225,-115.6745871,-0.000184977,-0.00043539,-115.6748375,-0.000250413
6930,H,1,methanol,toluene,-0.620022,0.157504,1.228123,4.14E-05,mol9_toluene_1030_s_toluene_15,mol9_toluene_1030_s_toluene_153,-115.6750225,-115.6745871,-0.000184977,-0.00043539,-115.6748375,-0.000250413
6930,H,1,methanol,toluene,0.505449,-0.913052,0.452284,-0.00022978,mol9_toluene_1030_s_toluene_15,mol9_toluene_1030_s_toluene_154,-115.6750225,-115.6745871,-0.000184977,-0.00043539,-115.6748375,-0.000250413
6930,H,1,methanol,toluene,-0.224323,-0.322218,-1.573981,-0.00113985,mol9_toluene_1030_s_toluene_15,mol9_toluene_1030_s_toluene_155,-115.6750225,-115.6745871,-0.000184977,-0.00043539,-115.6748375,-0.000250413
6931,C,6,methanol,toluene,0.08552,0.07723,0.34457,0.00015419,mol9_toluene_1030_s_toluene_25,mol9_toluene_1030_s_toluene_250,-115.6760917,-115.6745871,-0.001286382,-0.00150461,-115.6748053,-0.000218228
6931,O,8,methanol,toluene,-0.630545,0.197905,-0.881843,-3.88E-06,mol9_toluene_1030_s_toluene_25,mol9_toluene_1030_s_toluene_251,-115.6760917,-115.6745871,-0.001286382,-0.00150461,-115.6748053,-0.000218228
6931,H,1,methanol,toluene,0.896507,0.796706,0.450654,0.00026276,mol9_toluene_1030_s_toluene_25,mol9_toluene_1030_s_toluene_252,-115.6760917,-115.6745871,-0.001286382,-0.00150461,-115.6748053,-0.000218228
6931,H,1,methanol,toluene,-0.620022,0.157504,1.228123,0.00028193,mol9_toluene_1030_s_toluene_25,mol9_toluene_1030_s_toluene_253,-115.6760917,-115.6745871,-0.001286382,-0.00150461,-115.6748053,-0.000218228
