step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
7799,C,6,methanol,Water,-0.32412,-0.1782,-0.09187,0.00650133,mol10_100_s_water_15,mol10_100_s_water_150,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7799,O,8,methanol,Water,1.015529,-0.116548,0.368933,0.01589873,mol10_100_s_water_15,mol10_100_s_water_151,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7799,H,1,methanol,Water,-0.854932,-0.925202,0.461417,0.00928575,mol10_100_s_water_15,mol10_100_s_water_152,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7799,H,1,methanol,Water,-0.763656,0.842145,-0.067309,-0.03230186,mol10_100_s_water_15,mol10_100_s_water_153,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7799,H,1,methanol,Water,-0.313359,-0.453575,-1.170505,0.03106816,mol10_100_s_water_15,mol10_100_s_water_154,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7799,H,1,methanol,Water,1.215879,0.803893,0.474519,-0.00931628,mol10_100_s_water_15,mol10_100_s_water_155,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7800,C,6,methanol,Water,-0.32412,-0.1782,-0.09187,0.00650133,mol10_100_s_water_25,mol10_100_s_water_250,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7800,O,8,methanol,Water,1.015529,-0.116548,0.368933,0.01589873,mol10_100_s_water_25,mol10_100_s_water_251,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7800,H,1,methanol,Water,-0.854932,-0.925202,0.461417,0.00928575,mol10_100_s_water_25,mol10_100_s_water_252,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7800,H,1,methanol,Water,-0.763656,0.842145,-0.067309,-0.03230186,mol10_100_s_water_25,mol10_100_s_water_253,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7800,H,1,methanol,Water,-0.313359,-0.453575,-1.170505,0.03106816,mol10_100_s_water_25,mol10_100_s_water_254,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7800,H,1,methanol,Water,1.215879,0.803893,0.474519,-0.00931628,mol10_100_s_water_25,mol10_100_s_water_255,-115.7144232,-115.6734471,-0.026486104,-0.04097607,-115.687937,-0.014489966
7801,C,6,methanol,Water,-0.32412,-0.1782,-0.09187,0.01832531,mol10_100_s_water_5,mol10_100_s_water_50,-115.6800216,-115.6734471,0.000306609,-0.00657451,-115.6803282,-0.006881119
7801,O,8,methanol,Water,1.015529,-0.116548,0.368933,0.01765024,mol10_100_s_water_5,mol10_100_s_water_51,-115.6800216,-115.6734471,0.000306609,-0.00657451,-115.6803282,-0.006881119
7801,H,1,methanol,Water,-0.854932,-0.925202,0.461417,0.0149741,mol10_100_s_water_5,mol10_100_s_water_52,-115.6800216,-115.6734471,0.000306609,-0.00657451,-115.6803282,-0.006881119
7801,H,1,methanol,Water,-0.763656,0.842145,-0.067309,0.00554695,mol10_100_s_water_5,mol10_100_s_water_53,-115.6800216,-115.6734471,0.000306609,-0.00657451,-115.6803282,-0.006881119
7801,H,1,methanol,Water,-0.313359,-0.453575,-1.170505,0.03598076,mol10_100_s_water_5,mol10_100_s_water_54,-115.6800216,-115.6734471,0.000306609,-0.00657451,-115.6803282,-0.006881119
7801,H,1,methanol,Water,1.215879,0.803893,0.474519,0.00230829,mol10_100_s_water_5,mol10_100_s_water_55,-115.6800216,-115.6734471,0.000306609,-0.00657451,-115.6803282,-0.006881119
7802,C,6,methanol,Water,-0.3166,0.1365,-0.09772,-0.01652111,mol10_1011_s_water_15,mol10_1011_s_water_150,-115.7018505,-115.6695393,-0.015232381,-0.03231117,-115.6866181,-0.01707879
7802,O,8,methanol,Water,0.583836,-0.866645,0.478054,-0.00090873,mol10_1011_s_water_15,mol10_1011_s_water_151,-115.7018505,-115.6695393,-0.015232381,-0.03231117,-115.6866181,-0.01707879
7802,H,1,methanol,Water,-0.97109,0.435965,0.706993,-0.00714353,mol10_1011_s_water_15,mol10_1011_s_water_152,-115.7018505,-115.6695393,-0.015232381,-0.03231117,-115.6866181,-0.01707879
7802,H,1,methanol,Water,0.175135,0.957496,-0.545114,-0.02764365,mol10_1011_s_water_15,mol10_1011_s_water_153,-115.7018505,-115.6695393,-0.015232381,-0.03231117,-115.6866181,-0.01707879
7802,H,1,methanol,Water,-0.921936,-0.289829,-0.950839,-0.01737539,mol10_1011_s_water_15,mol10_1011_s_water_154,-115.7018505,-115.6695393,-0.015232381,-0.03231117,-115.6866181,-0.01707879
7802,H,1,methanol,Water,1.440678,-0.392377,0.398731,-0.03271079,mol10_1011_s_water_15,mol10_1011_s_water_155,-115.7018505,-115.6695393,-0.015232381,-0.03231117,-115.6866181,-0.01707879
7803,C,6,methanol,Water,-0.3166,0.1365,-0.09772,-0.01384556,mol10_1011_s_water_25,mol10_1011_s_water_250,-115.7067964,-115.6695393,-0.020342615,-0.03725706,-115.6864538,-0.016914445
7803,O,8,methanol,Water,0.583836,-0.866645,0.478054,0.00169066,mol10_1011_s_water_25,mol10_1011_s_water_251,-115.7067964,-115.6695393,-0.020342615,-0.03725706,-115.6864538,-0.016914445
7803,H,1,methanol,Water,-0.97109,0.435965,0.706993,-0.00494788,mol10_1011_s_water_25,mol10_1011_s_water_252,-115.7067964,-115.6695393,-0.020342615,-0.03725706,-115.6864538,-0.016914445
7803,H,1,methanol,Water,0.175135,0.957496,-0.545114,-0.02456145,mol10_1011_s_water_25,mol10_1011_s_water_253,-115.7067964,-115.6695393,-0.020342615,-0.03725706,-115.6864538,-0.016914445
7803,H,1,methanol,Water,-0.921936,-0.289829,-0.950839,-0.01459622,mol10_1011_s_water_25,mol10_1011_s_water_254,-115.7067964,-115.6695393,-0.020342615,-0.03725706,-115.6864538,-0.016914445
7803,H,1,methanol,Water,1.440678,-0.392377,0.398731,-0.02979206,mol10_1011_s_water_25,mol10_1011_s_water_255,-115.7067964,-115.6695393,-0.020342615,-0.03725706,-115.6864538,-0.016914445
7804,C,6,methanol,Water,-0.3166,0.1365,-0.09772,-0.03525728,mol10_1011_s_water_5,mol10_1011_s_water_50,-115.6831226,-115.6695393,0.000555267,-0.01358322,-115.6836778,-0.014138487
7804,O,8,methanol,Water,0.583836,-0.866645,0.478054,-0.02287662,mol10_1011_s_water_5,mol10_1011_s_water_51,-115.6831226,-115.6695393,0.000555267,-0.01358322,-115.6836778,-0.014138487
7804,H,1,methanol,Water,-0.97109,0.435965,0.706993,-0.0235457,mol10_1011_s_water_5,mol10_1011_s_water_52,-115.6831226,-115.6695393,0.000555267,-0.01358322,-115.6836778,-0.014138487
7804,H,1,methanol,Water,0.175135,0.957496,-0.545114,-0.04459338,mol10_1011_s_water_5,mol10_1011_s_water_53,-115.6831226,-115.6695393,0.000555267,-0.01358322,-115.6836778,-0.014138487
7804,H,1,methanol,Water,-0.921936,-0.289829,-0.950839,-0.0380409,mol10_1011_s_water_5,mol10_1011_s_water_54,-115.6831226,-115.6695393,0.000555267,-0.01358322,-115.6836778,-0.014138487
7804,H,1,methanol,Water,1.440678,-0.392377,0.398731,-0.04931812,mol10_1011_s_water_5,mol10_1011_s_water_55,-115.6831226,-115.6695393,0.000555267,-0.01358322,-115.6836778,-0.014138487
7805,C,6,methanol,Water,-0.32538,0.15362,-0.10475,-0.01696074,mol10_1014_s_water_15,mol10_1014_s_water_150,-115.7037043,-115.6722309,-0.015663537,-0.0314734,-115.6880407,-0.015809863
7805,O,8,methanol,Water,0.558756,-0.838425,0.480699,-0.00036937,mol10_1014_s_water_15,mol10_1014_s_water_151,-115.7037043,-115.6722309,-0.015663537,-0.0314734,-115.6880407,-0.015809863
7805,H,1,methanol,Water,-1.00284,0.481453,0.68984,-0.00734174,mol10_1014_s_water_15,mol10_1014_s_water_152,-115.7037043,-115.6722309,-0.015663537,-0.0314734,-115.6880407,-0.015809863
7805,H,1,methanol,Water,0.189034,0.964758,-0.537455,-0.02832877,mol10_1014_s_water_15,mol10_1014_s_water_153,-115.7037043,-115.6722309,-0.015663537,-0.0314734,-115.6880407,-0.015809863
7805,H,1,methanol,Water,-0.857337,-0.303611,-0.971215,-0.01956891,mol10_1014_s_water_15,mol10_1014_s_water_154,-115.7037043,-115.6722309,-0.015663537,-0.0314734,-115.6880407,-0.015809863
7805,H,1,methanol,Water,1.449413,-0.438557,0.430353,-0.02683984,mol10_1014_s_water_15,mol10_1014_s_water_155,-115.7037043,-115.6722309,-0.015663537,-0.0314734,-115.6880407,-0.015809863
7806,C,6,methanol,Water,-0.32538,0.15362,-0.10475,-0.01441884,mol10_1014_s_water_25,mol10_1014_s_water_250,-115.7084953,-115.6722309,-0.020613106,-0.03626439,-115.6878821,-0.015651284
7806,O,8,methanol,Water,0.558756,-0.838425,0.480699,0.00208442,mol10_1014_s_water_25,mol10_1014_s_water_251,-115.7084953,-115.6722309,-0.020613106,-0.03626439,-115.6878821,-0.015651284
7806,H,1,methanol,Water,-1.00284,0.481453,0.68984,-0.00525754,mol10_1014_s_water_25,mol10_1014_s_water_252,-115.7084953,-115.6722309,-0.020613106,-0.03626439,-115.6878821,-0.015651284
7806,H,1,methanol,Water,0.189034,0.964758,-0.537455,-0.02539212,mol10_1014_s_water_25,mol10_1014_s_water_253,-115.7084953,-115.6722309,-0.020613106,-0.03626439,-115.6878821,-0.015651284
